도서ID,제목,출판연도,대출상태,누적대출횟수
B00947,알고리즘 문제 해결 256,2024,대출가능,62
B00471,데이터 과학 with Python 2029,2024,대출중,58
B00147,파이썬 데이터 분석 실전 1005,2015,대출가능,74
B00353,Python 머신러닝 입문 1211,2019,대출가능,2
B00448,Python 머신러닝 입문 2006,2023,대출중,54
B00120,데이터 과학 with Python 119,2026,대출가능,95
B00671,데이터 과학 with Python 2229,2024,대출중,63
B00418,Python 머신러닝 입문 1276,2015,대출가능,87
B00420,python 기초 프로그래밍 1278,2010,대출가능,64
B00101,파이썬 데이터 분석 실전 100,2026,대출가능,44
B00959,빅데이터 분석 실무 268,2023,대출가능,29
B00292,파이썬 데이터 분석 실전 1150,2012,대출가능,65
B00090,데이터 과학 with Python 89,2026,대출가능,18
B00083,PYTHON 자동화 프로젝트 82,2022,대출가능,75
B00270,python 기초 프로그래밍 1128,2011,대출가능,74
B00205,python 기초 프로그래밍 1063,2013,대출가능,79
B00105,데이터 과학 with Python 104,2023,대출가능,29
B00374,PYTHON 자동화 프로젝트 1232,2014,대출가능,57
B00385,python 기초 프로그래밍 1243,2016,대출가능,60
B00075,데이터 과학 with Python 74,2023,대출가능,5
B00631,데이터 과학 with Python 2189,2020,대출중,22
B00460,python 기초 프로그래밍 2018,2020,대출중,6
B00419,PYTHON 자동화 프로젝트 1277,2019,대출가능,52
B00474,PYTHON 자동화 프로젝트 2032,2022,대출중,86
B00654,PYTHON 자동화 프로젝트 2212,2025,대출중,11
B00902,자바 프로그래밍 기초 211,2020,대출가능,30
B00949,SQL 데이터베이스 입문 258,2025,대출가능,67
B00050,데이터 과학 with Python 49,2024,대출가능,81
B00279,PYTHON 자동화 프로젝트 1137,2019,대출가능,58
B00433,Python 머신러닝 입문 1291,2016,대출가능,35
B00845,SQL 데이터베이스 입문 154,2022,대출가능,74
B00964,R을 활용한 통계 분석 273,2020,대출가능,79
B00260,python 기초 프로그래밍 1118,2019,대출가능,62
B00643,Python 머신러닝 입문 2201,2025,대출중,77
B00242,파이썬 데이터 분석 실전 1100,2015,대출가능,40
B00254,PYTHON 자동화 프로젝트 1112,2011,대출가능,12
B00391,데이터 과학 with Python 1249,2015,대출가능,59
B00668,Python 머신러닝 입문 2226,2025,대출중,65
B00844,R을 활용한 통계 분석 153,2026,대출가능,9
